Differential genes in Nb2 neoblasts		
Gene id	foldChange	State
SMED30034634	0.865054271	down
SMED30004666	1.15524309	up
SMED30013079	0.881156504	down
SMED30019677	0.814392528	down
SMED30007080	0.736531257	down
SMED30024665	1.108266417	up
SMED30022089	0.914669049	down
SMED30019597	0.918560243	down
SMED30031961	0.203786824	down
SMED30009052	1.026996966	down
SMED30008568	1.417827955	up
SMED30033690	0.493104613	down
SMED30004449	0.571992561	down
SMED30016152	0.815822085	down
SMED30030845	0.366011861	down
SMED30007326	0.219829616	down
SMED30021607	0.818590014	down
SMED30031939	0.389886489	down
SMED30006542	0.703271548	down
SMED30005164	0.46277666	down
SMED30011516	0.837156271	down
SMED30016021	0.83098109	down
SMED30017680	0.304842755	down
SMED30028606	0.883360183	down
SMED30020614	0.91903815	down
SMED30008917	1.388098174	up
SMED30004319	0.523138833	down
SMED30023258	1.020053236	down
SMED30000794	0.885978826	down
SMED30033785	1.078438116	up
SMED30016832	0.700534302	down
SMED30017222	0.90195472	down
SMED30019702	1.029097597	down
SMED30025065	0.181661397	down
SMED30031990	0.56067313	down
SMED30002992	0.573440644	down
SMED30005155	0.558029025	down
SMED30007290	0.560272526	down
SMED30023086	0.736614811	down
SMED30028398	1.549205682	up
SMED30016082	0.298038229	down
SMED30015148	0.325724841	down
SMED30021281	0.253649557	down
SMED30033402	0.976114624	down
SMED30013241	0.224608521	down
SMED30034930	0.644406982	down
SMED30005228	0.844056588	down
SMED30004583	0.366011861	down
SMED30032346	1.597253423	up
SMED30009696	0.066230718	down
SMED30019915	0.494383625	down
SMED30010291	0.855210719	down
SMED30031156	0.780957467	down
SMED30033593	0.518807288	down
SMED30010355	1.501429391	up
SMED30026979	1.021087011	down
SMED30012642	0.803785435	down
SMED30000035	0.388553543	down
SMED30030360	0.397384306	down
SMED30001977	0.774389929	down
SMED30010847	0.320279888	down
SMED30000343	0.531711395	down
SMED30031712	0.599133261	down
SMED30000284	0.842287016	down
SMED30019424	3.338028169	up
SMED30024042	0.701667146	down
SMED30001764	0.465898841	down
SMED30002801	0.295924483	down
SMED30005541	0.663240003	down
SMED30028740	0.412866811	down
SMED30010251	0.310456489	down
SMED30026654	0.556763038	down
SMED30035929	1.001750992	down
SMED30001546	0.980271177	down
SMED30026556	0.793407707	down
SMED30009125	0.279640808	down
SMED30017563	0.573999553	down
SMED30030958	0.775540339	down
SMED30004301	0.173855634	down
SMED30009616	0.676705158	down
SMED30019073	0.499935094	down
SMED30010437	0.590763834	down
SMED30029321	0.687689008	down
SMED30014702	0.429604655	down
SMED30022863	0.128188486	down
SMED30000746	0.391940685	down
SMED30016835	0.835985473	down
SMED30005681	0.702353657	down
SMED30015813	1.35692202	up
SMED30009602	0.331153588	down
SMED30032682	0.888372767	down
SMED30033047	0.075692249	down
SMED30032989	0.479725198	down
SMED30029434	0.653406606	down
SMED30015912	0.499193508	down
