timepoint	epi	muscle	neuron
2_116_0_7	14dpa1	0.990414367047662	0.194057789041653	0.238012985033523
2_116_1_7	14dpa1	1.32070794332012	-0.219381458765338	-0.141952724217625
2_119_0_7	14dpa1	0.63050982634539	-0.10176100108572	-0.172757107762155
22_3_7	14dpa1	1.2562171164488	-0.0153894410936235	-0.133088982536179
22_9_7	14dpa1	1.26592588502562	0.125450575624905	-0.137270185804326
22_27_7	14dpa1	1.41457536714743	0.670591732373076	-0.0920905084993034
24_2_7	14dpa1	1.21762668334786	0.472095467444873	-0.0737077990586199
24_4_7	14dpa1	0.833562139052279	0.462677957094983	-0.156298958029872
24_6_7	14dpa1	0.882019328854621	0.169765257105533	0.947663631213433
25_5_0_7	14dpa1	1.0769392566828	-0.343475790307091	-0.154062805658381
25_6_7	14dpa1	1.0528525584632	-0.262957559545082	-0.0897878445332443
25_20_7	14dpa1	0.243919429536491	0.085776571182032	-0.152774455125448
9_69_7	14dpa1	1.20155792287823	0.565400333536302	-0.14755891327875
9_74_7	14dpa1	1.29748738030179	0.706450039272365	-0.101087391123373
9_75_7	14dpa1	0.996061299332736	-0.422415438779079	-0.120991547963848
13_290_1_10	36hpa2	1.16093102012546	0.0655862957089692	-0.225925657263912
13_370_0_10	36hpa2	1.11221245232382	0.214809233687216	-0.023003177318558
13_370_1_10	36hpa2	1.40031719741304	-0.0851652501923086	0.036371039442639
13_371_0_10	36hpa2	1.34686688245083	0.176574855574962	-0.0232495333738299
13_371_1_10	36hpa2	1.27734036160074	-0.421841651384409	-0.0760367342175761
13_371_2_10	36hpa2	1.16282814125803	0.041096913679354	-0.19129983916021
13_373_0_10	36hpa2	0.976840651298596	-0.391768754822564	-0.0555358671709673
13_373_1_10	36hpa2	1.02166332185545	0.0857052704991936	-0.0530899562731272
13_373_2_10	36hpa2	1.22903111195138	0.452572144172946	-0.198066821350774
13_391_1_10	36hpa2	1.38615467426782	0.046671836813253	-0.224446721875856
16_1_10	36hpa2	1.34397381346008	0.398924864072174	-0.100653207664698
16_103_10	36hpa2	1.02100480253187	0.706033985007204	-0.172457339100796
16_184_10	36hpa2	1.03858642803625	0.773271864882966	-0.232850587322377
16_205_10	36hpa2	0.417650220315923	0.099511706182513	-0.122164529421485
16_212_0_10	36hpa2	0.915412636294673	0.475024023620776	-0.180911705699862
16_223_10	36hpa2	1.22401396288216	0.0979825639062104	0.263976252954706
16_247_10	36hpa2	1.18424140665781	0.466783158993674	-0.165995297831208
16_271_0_10	36hpa2	1.03662156085867	0.621829465229574	0.00551371598254877
16_271_1_10	36hpa2	0.993097531067013	0.431002646039637	-0.256555053194807
16_273_10	36hpa2	0.962708602829999	0.675618132426169	-0.240337372392701
16_274_0_10	36hpa2	0.622603414755333	0.587460428395131	-0.20684441941596
16_274_1_10	36hpa2	0.605436900558653	0.756033198244047	-0.163033609279529
16_284_10	36hpa2	0.762076116884869	0.206713825094234	-0.200235309693326
16_285_10	36hpa2	0.845508145227952	-0.324754151131979	-0.155558716222939
16_328_10	36hpa2	0.958644290381183	-0.198385098892391	-0.132116197229556
18_25_0_10	36hpa2	1.39601689033206	0.866869425225094	-0.175866569878846
18_25_1_10	36hpa2	0.867759345614067	0.90792092117302	0.169600885993347
18_134_10	36hpa2	1.15706204250052	0.185040037972078	-0.0907209778200494
18_200_10	36hpa2	0.770084417592424	-0.0561373108911496	-0.182672762705098
18_201_10	36hpa2	1.11824645071661	0.406843639633009	0.382692535356728
