time_simu	ARNT_act	ndk_act	ARNT_pred	ndk_pred	time_realp	ARNT_realp	ndk_realp	EGR1_act	hox4b_act	EGR1_pred	hox4b_pred	EGR1_realp	hox4b_realp	NFYA_act	glra1_act	NFYA_pred	glra1_pred	NFYA_realp	glra1_realp
4.46094	6.85415	9.09964	7.41573	9.5207				7.74402	7.43573	7.35665	6.83863			8.47649	15.2713	9.36286	19.2337		
4.489	6.81663	9.12581	7.41342	9.54845				7.74393	7.41624	7.36924	6.87276			8.44937	15.3441	9.36186	19.3014		
4.51706	6.77942	9.15165	7.41106	9.57588				7.7435	7.39709	7.38169	6.90693			8.42198	15.4169	9.36073	19.3685		
4.54511	6.74257	9.17716	7.40864	9.60301				7.74274	7.37834	7.39398	6.94114			8.39435	15.4896	9.35947	19.435		
4.57317	6.70614	9.20234	7.40616	9.62983				7.74165	7.36003	7.40613	6.97539			8.3665	15.5622	9.35807	19.5008		
4.60123	6.67017	9.22718	7.40363	9.65633				7.74024	7.34221	7.41812	7.00967			8.33845	15.6347	9.35655	19.566		
4.62928	6.63471	9.2517	7.40104	9.68253				7.7385	7.32495	7.42996	7.04399			8.31023	15.707	9.3549	19.6305		
4.65734	6.59981	9.27587	7.39839	9.70842				7.73644	7.30828	7.44165	7.07834			8.28185	15.7793	9.35313	19.6944		
4.68539	6.56551	9.29972	7.39569	9.73401				7.73405	7.29227	7.45319	7.11271			8.25335	15.8515	9.35124	19.7576		
4.71345	6.53188	9.32322	7.39293	9.75929				7.73134	7.27696	7.46458	7.14711			8.22473	15.9235	9.34922	19.8202		
4.74151	6.49896	9.3464	7.39013	9.78427				7.72831	7.26241	7.47582	7.18153			8.19604	15.9954	9.34708	19.8821		
4.76956	6.4668	9.36923	7.38727	9.80895				7.72496	7.24867	7.4869	7.21596			8.16727	16.0672	9.34482	19.9434		
4.79762	6.43544	9.39173	7.38436	9.83332				7.7213	7.23578	7.49783	7.25041			8.13847	16.1389	9.34245	20.004		
4.82567	6.40495	9.4139	7.3814	9.8574				7.71732	7.22381	7.50861	7.28487			8.10966	16.2104	9.33996	20.064		
4.85373	6.37536	9.43572	7.37839	9.88117				7.71302	7.21281	7.51923	7.31933			8.08084	16.2818	9.33736	20.1233		
4.88179	6.34672	9.45721	7.37533	9.90465				7.70841	7.20282	7.5297	7.3538			8.05206	16.353	9.33464	20.182		
4.90984	6.3191	9.47836	7.37222	9.92783				7.70349	7.1939	7.54001	7.38827			8.02332	16.4241	9.33182	20.24		
4.9379	6.29252	9.49917	7.36906	9.95071				7.69826	7.1861	7.55017	7.42274			7.99466	16.495	9.32888	20.2974		
4.96596	6.26706	9.51964	7.36586	9.97331				7.69272	7.17948	7.56018	7.45721			7.96609	16.5658	9.32584	20.3541		
4.99401	6.24275	9.53977	7.36261	9.9956				7.68687	7.17407	7.57003	7.49166			7.93764	16.6364	9.32268	20.4102		
5.02207	6.21963	9.55956	7.35932	10.0176				7.68072	7.16994	7.57973	7.52611			7.90934	16.7069	9.31943	20.4656		
5.05013	6.19772	9.57902	7.35598	10.0393				7.67427	7.16708	7.58927	7.56054			7.88119	16.7771	9.31607	20.5204		
5.07818	6.17699	9.59815	7.3526	10.0608				7.66754	7.16545	7.59866	7.59495			7.85322	16.8472	9.3126	20.5745		
5.10624	6.15742	9.61697	7.34917	10.0819				7.66055	7.16503	7.60789	7.62935			7.82542	16.9172	9.30904	20.628		
5.13429	6.13899	9.63548	7.3457	10.1027				7.6533	7.1658	7.61697	7.66372			7.79782	16.987	9.30537	20.6809		
5.16235	6.12169	9.6537	7.34219	10.1233				7.64582	7.16772	7.6259	7.69806			7.77041	17.0566	9.30161	20.733		
5.19041	6.10549	9.67163	7.33864	10.1436				7.63811	7.17076	7.63467	7.73237			7.7432	17.1261	9.29775	20.7846		
5.21846	6.09037	9.68928	7.33505	10.1636				7.63019	7.17491	7.64329	7.76665			7.71621	17.1954	9.29379	20.8355		
5.24652	6.07632	9.70667	7.33141	10.1833				7.62208	7.18013	7.65175	7.8009			7.68942	17.2646	9.28974	20.8858		
5.27457	6.06331	9.72379	7.32774	10.2027				7.61379	7.18639	7.66006	7.8351			7.66287	17.3337	9.2856	20.9354		
5.30263	6.05134	9.74066	7.32402	10.2219				7.60533	7.19367	7.66821	7.86927			7.63654	17.4026	9.28136	20.9843		
5.33069	6.04036	9.7573	7.32027	10.2408				7.59672	7.20194	7.67622	7.90339			7.61045	17.4714	9.27704	21.0327		
5.35874	6.03038	9.7737	7.31648	10.2594				7.58797	7.21117	7.68406	7.93746			7.58461	17.5401	9.27262	21.0804		
5.3868	6.02137	9.78988	7.31265	10.2777				7.5791	7.22133	7.69176	7.97148			7.55902	17.6087	9.26811	21.1274		
5.41486	6.01331	9.80584	7.30879	10.2958				7.57011	7.23239	7.6993	8.00544			7.53368	17.6772	9.26352	21.1738		
5.44291	6.00617	9.82161	7.30489	10.3135				7.56104	7.24434	7.70669	8.03935			7.50862	17.7456	9.25884	21.2196		
5.47097	5.99995	9.83717	7.30095	10.3311				7.55188	7.25713	7.71392	8.0732			7.48383	17.8138	9.25408	21.2648		
5.49902	5.99462	9.85256	7.29698	10.3483				7.54266	7.27075	7.72101	8.10699			7.45932	17.882	9.24923	21.3093		
5.52708	5.99017	9.86776	7.29298	10.3653				7.53339	7.28516	7.72794	8.14071			7.43509	17.9501	9.2443	21.3532		
5.55514	5.98657	9.8828	7.28894	10.382				7.52407	7.30033	7.73472	8.17437			7.41117	18.0182	9.23929	21.3964		
