	AP	frizzled5/8-4	ndk	zic-2	prep	sfrp-1	fz5_8-3	ndl-4	ndl-1	ptk7	ndl-3	wntA	teashirt	wntP-2 / wnt11-5	wntless	sfrp-2	wnt2	ndl-2	ndl-5	wnt11-2	dd4427	dd13065	sp5	fz4-1	Post-2c	hox4b
100	99	3.561391556	5.601299986	1.030309623	10.79307503	0.468454523	4.73073896	1.500434492	11.13237953	1.571777421	4.52939643	14.38581809	4.862106019	6.693946458	4.397645198	4.281382084	1.238290776	5.056966367	5.348687454	0.89004229	7.707013259	0.70360222	1.337498744	0.669583976	0.480962004	1.706016314
101	100	3.017187233	5.023957874	1.053134485	8.707741223	0.454851444	3.889955208	1.382338142	11.44196855	1.41674778	5.402277741	12.15251835	5.769970828	6.926050664	4.663087267	5.096722902	1.262818444	5.463173697	6.860573642	0.843867144	7.541711485	0.730662615	1.309108595	0.637603052	0.492373872	1.688845983
102	101	3.380243096	4.082947269	1.042498237	8.046765296	0.441920784	3.279751688	1.282282196	10.80248284	1.456902552	5.370521029	10.84254812	5.460018611	6.79387372	5.003357853	5.105541057	1.349524847	5.993478091	8.47165338	0.802695412	7.941457799	0.705082936	1.412857835	0.661266642	0.504440525	1.712766137
103	102	3.029998051	3.417333717	1.079163506	7.57396416	0.428944039	4.091660019	1.38829076	12.70289847	1.582460275	5.385410613	11.10385094	4.831363271	6.123160304	4.590424895	4.299071606	1.444613142	6.801608001	10.68851919	0.765578776	7.939881629	0.703366937	1.502682846	0.685474717	0.516385663	1.707567168
104	103	3.061414734	2.921605095	1.187188761	6.776466837	0.417001141	4.331559629	1.237555857	11.69451102	2.031573785	4.733391564	10.57651754	5.388805005	5.494630915	4.11336832	4.6379153	1.330699845	8.01792589	12.63031695	1.010303894	7.987248964	0.729994981	1.600213705	0.687331828	0.529106829	1.554013122
105	104	2.767587074	2.750624458	1.199369561	5.626218694	0.40570527	4.253490594	1.312140013	12.90716806	2.149676298	4.475037767	11.14515153	6.291090215	5.571207262	4.563424943	4.637387784	1.317122605	6.46804575	17.26393673	0.949543315	7.642673409	0.757752687	1.715113346	0.713467289	0.528313518	1.550046858
106	105	2.613084919	2.867577825	1.036683476	4.940391205	0.394888146	5.204103716	1.399177364	13.78160193	2.418728432	4.338019483	10.34910834	7.625145461	5.627650563	5.497309949	4.857999399	1.310577875	7.192336223	11.89038132	0.94260058	6.672182657	0.788748534	1.604578266	0.687394272	0.587483884	1.542058161
107	106	2.642056076	2.386402436	1.033903086	4.211483112	0.407805678	4.772702097	1.505034218	14.01694872	2.755172503	4.496732493	10.34140955	6.869722461	5.774267008	5.378977949	4.16976455	1.409731602	7.562091103	7.755449062	0.986371777	6.00027047	0.867211959	1.766346993	0.661637461	0.601415568	1.415687462
108	107	2.557598217	2.706672171	1.06220479	3.89487525	0.417319971	4.383700065	1.643191352	13.42856983	2.659066414	4.662487749	11.78799319	6.298523158	5.770970393	5.776806528	4.233126594	1.539140273	6.179532733	6.660454907	0.942257413	6.34329585	0.789561749	1.781371926	0.680390473	0.615708296	1.594311902
109	108	2.911378259	3.042183565	1.012580959	3.663012406	0.427182863	3.598661976	1.804350684	13.55215568	2.103655399	4.35857888	11.62765194	6.222864137	5.834087347	6.297642987	4.512661482	1.690094583	5.431907707	5.338601349	0.90061639	6.238304986	0.823038711	1.806726748	0.664397466	0.585383332	1.592349486
