cell	x	y	cluster
146921.WT_25	1627.7525773195875	687.7938144329897	c2
146922.WT_25	1626.9710144927535	761.1014492753624	c5
146923.WT_25	1630.035294117647	769.0235294117647	c5
146925.WT_25	1653.551724137931	1133.1724137931035	c2
146926.WT_25	1654.5416666666667	1143.7916666666667	c8
146928.WT_25	1672.4754098360656	1402.8360655737704	c10
146929.WT_25	1679.2	1547.9333333333334	c10
146942.WT_25	1599.15625	224.015625	c15
146943.WT_25	1596.157894736842	252.47368421052636	c9
146945.WT_25	1597.5245901639344	321.6803278688525	c3
146947.WT_25	1607.6875	429.8125	c12
146949.WT_25	1621.4045801526718	627.1450381679389	c2
146950.WT_25	1632.6707317073171	782.0365853658536	c5
146952.WT_25	1639.65	911.7	c3
146953.WT_25	1644.359375	961.609375	c27
146954.WT_25	1646.7513227513227	998.8518518518518	c2
146955.WT_25	1650.0666666666666	1056.9333333333334	c5
146956.WT_25	1648.5449438202247	1075.808988764045	c5
146957.WT_25	1654.9605263157894	1161.9736842105262	c2
146958.WT_25	1659.591836734694	1212.4489795918366	c2
146961.WT_25	1677.76	1543.96	c21
146973.WT_25	1603.955357142857	334.38392857142856	c17
146974.WT_25	1602.4193548387098	340.1290322580645	c11
146975.WT_25	1602.3636363636365	361.7878787878788	c10
146977.WT_25	1608.5510204081634	484.2857142857143	c21
146978.WT_25	1622.635593220339	662.6101694915254	c2
146979.WT_25	1623.6521739130435	697.7391304347826	c2
146980.WT_25	1627.071428571429	729.0952380952381	c8
146981.WT_25	1631.5833333333333	775.1666666666666	c8
146982.WT_25	1632.45	830.1	c2
146983.WT_25	1635.904761904762	854.2380952380952	c2
146984.WT_25	1646.8823529411766	1041.0588235294117	c2
146985.WT_25	1647.4857142857145	1050.2714285714285	c2
146987.WT_25	1665.9868421052631	1361.907894736842	c2
146988.WT_25	1678.3125	1556.984375	c10
146989.WT_25	1679.2857142857142	1571.946428571429	c10
147003.WT_25	1596.525641025641	235.23076923076923	c9
147004.WT_25	1597.3589743589744	241.6153846153846	c15
147006.WT_25	1603.7931034482758	378.0344827586207	c21
147007.WT_25	1606.7272727272727	391.9318181818182	c12
147008.WT_25	1612.090909090909	452.3863636363636	c10
147009.WT_25	1609.571428571429	463.0	c21
147011.WT_25	1617.795321637427	548.1111111111111	c21
147012.WT_25	1622.8666666666666	689.7333333333333	c7
147013.WT_25	1624.8333333333333	705.0625	c23
147014.WT_25	1626.3529411764705	756.4705882352941	c8
147015.WT_25	1633.6627906976744	837.4418604651163	c2
147016.WT_25	1638.646464646465	884.3333333333334	c11
147017.WT_25	1635.4310344827586	905.2471264367816	c2
147019.WT_25	1646.659574468085	1010.1063829787234	c0
147020.WT_25	1658.960396039604	1219.2376237623762	c12
147038.WT_25	1607.4222222222222	413.6	c12
147039.WT_25	1638.948717948718	917.8205128205128	c3
147040.WT_25	1645.2955974842766	1022.25786163522	c2
147041.WT_25	1645.6756756756756	1060.945945945946	c2
147042.WT_25	1661.875	1270.975	c2
147044.WT_25	1666.75	1374.11	c2
147045.WT_25	1667.671875	1384.296875	c2
147061.WT_25	1596.494382022472	281.1123595505618	c22
147062.WT_25	1606.6666666666667	455.2982456140351	c21
147065.WT_25	1616.370786516854	588.0449438202247	c2
147066.WT_25	1622.0526315789473	671.6315789473684	c12
147067.WT_25	1631.978723404255	816.0425531914893	c2
147068.WT_25	1637.6216216216217	858.081081081081	c2
147069.WT_25	1630.6829268292684	891.6585365853658	c7
147070.WT_25	1642.6896551724135	988.5862068965516	c2
147071.WT_25	1680.0691823899372	1589.4716981132076	c3
147086.WT_25	1619.953488372093	600.8139534883721	c6
147087.WT_25	1618.98	639.02	c3
147089.WT_25	1644.2941176470588	1044.1176470588234	c2
147090.WT_25	1654.3088235294117	1209.5735294117646	c12
147091.WT_25	1660.5	1264.0555555555557	c2
147092.WT_25	1666.571428571429	1390.571428571429	c10
147093.WT_25	1667.6328125	1406.0546875	c10
147096.WT_25	1674.2985074626863	1540.0298507462687	c21
147097.WT_25	1682.9	1599.54	c3
147114.WT_25	1607.1363636363635	405.59090909090907	c1
147115.WT_25	1605.1666666666667	425.4166666666667	c6
147116.WT_25	1610.5172413793102	440.5448275862069	c10
147117.WT_25	1614.9565217391305	562.991304347826	c21
147119.WT_25	1630.0	788.5890410958904	c7
147120.WT_25	1631.2692307692307	843.6538461538462	c2
147121.WT_25	1634.8666666666666	870.3	c2
147122.WT_25	1635.2375	935.04375	c14
147123.WT_25	1639.9454545454546	974.709090909091	c2
147124.WT_25	1650.3684210526317	1143.6842105263158	c2
147138.WT_25	1589.0283687943263	257.13475177304963	c9
147141.WT_25	1617.2692307692307	603.0769230769231	c2
147142.WT_25	1619.3055555555557	609.1527777777778	c2
147143.WT_25	1626.047619047619	799.2619047619048	c2
147144.WT_25	1636.553672316384	946.09604519774	c2
147145.WT_25	1651.1422018348624	1154.3073394495414	c8
147146.WT_25	1657.595744680851	1256.3191489361702	c14
147147.WT_25	1669.578947368421	1433.157894736842	c10
147148.WT_25	1679.984375	1612.875	c9
147167.WT_25	1603.909090909091	419.7272727272728	c12
147168.WT_25	1600.5	461.8207547169811	c21
147169.WT_25	1603.8648648648648	472.7972972972973	c21
147170.WT_25	1615.6190476190477	614.6190476190476	c3
147171.WT_25	1619.7169811320755	681.933962264151	c23
147173.WT_25	1625.4	774.3666666666667	c8
